Win,Lose,KDArange
**{username}** залил соляры на **{hero}** со счетом **{score}**,**{username}** проиграл 1vs9 на **{hero}** со счетом **{score}**,"4,inf"
**{username}** затащил на **{hero}** со счетом **{score}**,**{username}** очень обидно проиграл на **{hero}** со счетом **{score}**,"3,4"
**{username}** жал кнопки вовремя на **{hero}** со счетом **{score}**,**{username}** пытался победить на **{hero}** со счетом **{score}**,"2,3"
**{username}** на **{hero}** играл с бустером и победил со счетом **{score}**,**{username}** закинул на **{hero}** со счетом **{score}**,"1.5,2"
**{username}** был якорем на **{hero}** со счетом **{score}**,**{username}** не понимал что происходит на **{hero}** со счетом **{score}**,"1,1.5"
"**{username}** старался слить, но не смог на **{hero}** со счетом **{score}**",**{username}** стоял АФК на **{hero}** со счетом **{score}**,"0,1"
